Title,Year,Genre,Language,BoxOffice,ReleasedDate,imdbRating
Deep Blue,2003,Documentary,English,"$132,261",2005-06-24 00:00:00,7.4
Free Solo,2018,"Documentary, Adventure, Sport",English,"$17,541,090",2018-12-13 00:00:00,8.1
Genius,2016,"Biography, Drama","English, Spanish","$1,361,045",2016-06-10 00:00:00,6.5
Hannah Montana: The Movie,2009,"Comedy, Drama, Family",English,"$79,576,189",2009-04-10 00:00:00,4.5
Hocus Pocus,1993,"Comedy, Family, Fantasy","English, French","$44,342,713",1993-07-16 00:00:00,6.9
"Honey, I Shrunk the Kids",1989,"Adventure, Comedy, Family",English,"$130,724,172",1989-06-23 00:00:00,6.4
James and the Giant Peach,1996,"Animation, Adventure, Family",English,"$28,946,127",1996-04-12 00:00:00,6.7
Journey to the Center of the Earth,2008,"Action, Adventure, Family","English, Icelandic, Italian","$101,704,370",2008-07-11 00:00:00,5.8
Kitbull,2019,"Animation, Short, Drama",English,"$330,661",2019-02-18 00:00:00,8.0
Lady and the Tramp,1955,"Animation, Adventure, Comedy",English,"$93,602,326",1955-06-22 00:00:00,7.3
Monsters University,2013,"Animation, Adventure, Comedy",English,"$268,492,764",2013-06-21 00:00:00,7.2
National Treasure: Book of Secrets,2007,"Action, Adventure, Mystery","English, French","$219,964,115",2007-12-21 00:00:00,6.5
Newsies,1992,"Drama, Family, History",English,"$2,819,485",1992-04-10 00:00:00,6.9
Oliver & Company,1988,"Animation, Adventure, Comedy",English,"$74,151,346",1988-11-18 00:00:00,6.6
Pirates of the Caribbean: At World's End,2007,"Action, Adventure, Fantasy",English,"$309,420,425",2007-05-25 00:00:00,7.1
Pirates of the Caribbean: The Curse of the Black Pearl,2003,"Action, Adventure, Fantasy",English,"$305,413,918",2003-07-09 00:00:00,8.1
Ratatouille,2007,"Animation, Adventure, Comedy","English, French","$206,445,654",2007-06-29 00:00:00,8.1
Recess: School's Out,2001,"Animation, Adventure, Comedy",English,"$36,706,141",2001-02-16 00:00:00,6.5
Sacred Planet,2004,"Documentary, Short",English,"$1,108,356",2004-04-22 00:00:00,6.1
Science Fair,2018,Documentary,English,"$276,195",2018-10-19 00:00:00,7.6
